feature,logistic_top20_frequency,mean_absolute_coefficient,mean_standardized_coefficient,sign_consistency,rf_top20_frequency,mean_ap_drop,ap_drop_std_across_folds,logistic_rank,rf_rank,meets_either_method_60pct_rule,meets_both_methods_60pct_rule,evidence_frequency_sum,mean_rank
feature_325,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_326,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_327,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_328,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_329,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_330,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_364,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_369,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_370,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_371,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_372,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_373,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_374,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_375,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_378,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_379,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_380,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_381,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_394,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_395,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_396,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_397,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_398,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_399,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_400,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_401,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_402,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_403,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_404,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_414,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_422,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_449,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_450,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_451,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_458,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_461,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_462,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_463,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_464,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_465,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_466,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_481,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_498,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_501,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_502,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_503,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_504,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_505,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_506,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_507,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_508,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
feature_509,0.0,,,,0.0,0.0,0.0,,265.0,False,False,0.0,265.0
